metros_cuadrados,baños,habitaciones,material,modelo,empresa,precio
130.0,2.0,2.0,madera,Getafe,Casas Prefabricadas López S.L.,
107.0,2.0,3.0,acero,ECO 107.3.2,Wigarma,
300.0,5.0,4.0,acero,Eco-Acua,Acero Eco Home,
74.0,1.0,3.0,madera,Casa 73,Madercás,
150.0,3.0,4.0,acero,Modelo 150001,Pro-Gal Construcciones Prefabricadas,150000.0
200.0,2.0,3.0,acero,Modelo 200001,Pro-Gal Construcciones Prefabricadas,200000.0
171.0,2.0,4.0,acero,Modelo 2P T4 R03,Modiko,
163.0,2.0,3.0,acero,Modelo 1P T3 U05,Modiko,
149.0,2.0,3.0,madera,Modelo 1149,GSI Constructora,
206.0,2.0,3.0,acero,Modelo 1P T3 U02,Modiko,
31.0,1.0,1.0,madera,Wahbi Standard,Woodville,38500.0
52.0,2.0,1.0,madera,Larun,KBOST,
88.0,2.0,3.0,madera,ST MTB Six,Steel Hous,
189.0,2.0,3.0,madera,WES170P1,WES,273000.0
254.0,3.0,4.0,"acero,hormigón",Ónice,Atlántida Homes,500200.0
125.0,2.0,3.0,madera,Elfe,Casastar,
137.0,2.0,3.0,acero,Modelo 1P T3 R04,Modiko,
129.0,2.0,4.0,madera,Tinajo,Madelar,
126.0,2.0,3.0,madera,WES116P1,WES,169000.0
140.0,2.0,2.0,madera,Marbella,LuxServis Eco Edificaciones,153500.0
178.0,3.0,4.0,hormigón,Casa Hormipresa M1,Hormipresa Living,
31.0,1.0,1.0,madera,Wahbi Complex,Woodville,38500.0
243.0,2.0,3.0,madera,Vila Nort,Kolbeg,376650.0
157.0,2.0,3.0,acero,Modelo 2P T3 R07,Modiko,
130.0,2.0,2.0,madera,Getafe,Casas Prefabricadas López S.L.,
230.0,4.0,4.0,acero,Eco-Playa,Acero Eco Home,
348.0,1.0,3.0,madera,Astoria M,TUCASAECO SOSTENIBLE,
100.0,2.0,3.0,acero,Modelo 10001,Pro-Gal Construcciones Prefabricadas,100000.0
21.0,1.0,1.0,madera,Wahbi Compact,Woodville,35800.0
35.0,1.0,1.0,madera,Leila 2,Mi Casa de Madera,31580.0
120.0,2.0,2.0,madera,Espluga de Francolí,Mi Casa de Madera,149710.0
80.0,2.0,2.0,"acero,hormigón",Casa 2,La Fabrica de Casas,
215.0,3.0,4.0,acero,Modelo 1P T4 L04,Modiko,
206.0,4.0,5.0,acero,T15 206 + POD,Atictec,302820.0
144.0,2.0,4.0,acero,Modelo 2P T4 R06,Modiko,
47.0,1.0,1.0,"acero,madera",House 130,STUDIOTEC,65800.0
308.0,3.0,4.0,madera,Diuna,Casastar,
180.0,1.0,4.0,madera,Sapphire M,TUCASAECO SOSTENIBLE,
214.0,3.0,3.0,acero,Modelo 2P T4 R01,Modiko,
140.0,2.0,2.0,madera,Marbella,LuxServis Eco Edificaciones,153500.0
90.0,1.0,3.0,madera,Huesca,Mi Casa de Madera,114070.0
242.0,2.0,4.0,madera,Ivalo,Forest House,363000.0
163.0,2.0,3.0,acero,Modelo 1P T3 U05,Modiko,
154.0,2.0,3.0,acero,Modelo 1P T3 R02,Modiko,
80.0,1.0,3.0,madera,Modelo Dalma,Grupo CUNI,120000.0
